PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
Dereck Lively II,DAL,36,833,3.3,1.1,2.2,1.1
Garrison Mathews,ATL,47,830,-1.6,-1.1,-0.5,0.1
Cam Whitmore,HOU,51,827,0.3,0.7,-0.4,0.5
Ryan Rollins,MIL,56,820,-0.5,-1.4,0.9,0.3
Marcus Sasser,DET,57,811,-0.6,-0.4,-0.2,0.3
Steven Adams,HOU,58,794,0.3,0.0,0.3,0.5
Aaron Holiday,HOU,62,792,-0.2,-0.4,0.1,0.3
Karlo Matković,NOP,42,791,-2.0,-1.9,-0.2,0.0
Caleb Houstan,ORL,58,788,-2.2,-2.4,0.2,0.0
Vasilije Micić,2TM,41,785,-7.0,-4.6,-2.4,-1.0
Vasilije Micić,CHO,36,764,-6.8,-4.4,-2.4,-0.9
Vasilije Micić,PHO,5,21,-14.8,-10.7,-4.1,-0.1
Jaylin Williams,OKC,47,784,4.3,1.5,2.7,1.2
