PLAYER_NAME,TEAM,AGE,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING,USG_PCT,TS_PCT,AST_PCT,PIE,PACE,POSS,SEASON
"Moritz Wagner",ORL,28,30,18.8,-0.9,106.1,107,0.254,0.649,0.135,0.165,99.97,1172,2024-25
"Moses Brown",DAL,25,13,9.1,-4.4,101.5,105.9,0.216,0.706,0.029,0.154,108.49,267,2024-25
"Moses Moody",GSW,23,74,22.3,4.3,113.2,108.9,0.17,0.578,0.084,0.076,100.74,3454,2024-25
"Mouhamed Gueye",ATL,22,33,16.1,8.8,113.4,104.7,0.155,0.52,0.064,0.085,103.84,1146,2024-25
"Moussa Diabaté",CHA,23,71,17.5,-3.4,106.9,110.3,0.13,0.609,0.069,0.115,97.32,2498,2024-25
"Myles Turner",IND,29,72,30.2,4.7,116.1,111.5,0.207,0.612,0.072,0.103,100.19,4533,2024-25
"N'Faly Dante",HOU,23,4,12.7,-8.6,114.9,123.5,0.133,0.789,0.05,0.125,108.58,114,2024-25
"Nae'Qwan Tomlin",CLE,24,5,12.7,4.4,96.4,92,0.23,0.489,0.053,0.096,104.1,138,2024-25
"Naji Marshall",DAL,27,69,27.8,-3.2,111.5,114.7,0.197,0.584,0.161,0.105,101.27,4046,2024-25
"Nate Williams",HOU,26,20,7.3,-6.2,110.6,116.8,0.212,0.496,0.079,0.038,108.85,331,2024-25
"Naz Reid",MIN,25,80,27.5,7.4,116.2,108.8,0.21,0.577,0.123,0.11,99.34,4554,2024-25
"Neemias Queta",BOS,25,62,13.9,9.1,117.4,108.3,0.136,0.674,0.076,0.102,95.52,1717,2024-25
